SimNu,Nsites,Nspecies,Nyears,ScovariateVar,samplingType,speciesVariation,meanOccProb,meanLambda,meanSeffects,meanTeffects,meanIeffects,Nvisits,subsetPositive,meanDetProb,meanSiteDetEffects,meanYearDetEffects,meanIntDetEffects,Noise,focalSpecies,myModel,,,
1,50,30,10,1,Occurrence,FALSE,0.5,1,0,0,0,5,FALSE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
2,50,30,10,1,Occurrence,FALSE,0.5,1,0,0.1,0,5,FALSE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
3,50,30,10,1,Abundance,FALSE,0.5,1,0,0,0,5,FALSE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
4,50,30,10,1,Abundance,FALSE,0.5,1,0,0.1,0,5,FALSE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
5,50,30,10,1,Occurrence,FALSE,0.5,1,0,0,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
6,50,30,10,1,Occurrence,FALSE,0.5,1,0,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
7,50,30,10,1,Abundance,FALSE,0.5,1,0,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_nosite.txt,,,
8,50,30,10,1,Occurrence,FALSE,0.5,1,0.1,0.1,0,5,FALSE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear.txt,,,
9,50,30,10,1,Occurrence,FALSE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear.txt,,,
10,50,30,10,1,Occurrence,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear.txt,,,
11,50,30,10,1,Abundance,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear.txt,,,
12,50,30,10,1,Occurrence,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_LL.txt,,,
13,50,30,10,1,Abundance,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,FALSE,1,basic_odm_fixedYear_LL.txt,,,
14,50,30,10,1,Occurrence,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
15,50,30,10,1,Abundance,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
16,50,30,10,1,Occurrence,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,lower sampling noise
17,50,30,10,1,Abundance,TRUE,0.5,1,0.1,0.1,0,5,TRUE,0.5,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,lower sampling noise
18,50,30,10,1,Occurrence,TRUE,0.5,1,0.2,0.05,0,5,TRUE,0.5,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
19,50,30,10,1,Abundance,TRUE,0.5,0.7,0.2,0.05,0,5,TRUE,0.25,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
20,50,30,10,1,Occurrence,TRUE,0.5,1,0.1,0.05,0,5,TRUE,0.5,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
21,50,30,10,1,Abundance,TRUE,0.5,0.7,0.1,0.04,0,5,TRUE,0.4,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
22,50,30,10,1,Abundance,TRUE,0.5,0.7,0.1,0,0,5,TRUE,0.4,0,0,0,TRUE,1,basic_odm_fixedYear_LL.txt,,,
23,50,30,10,1,Abundance,TRUE,0.5,0.7,0.1,0.04,0,5,TRUE,0.4,0,0,0,TRUE,1,basic_odm_randomwalk_LL.txt,,,
24,50,30,10,1,Abundance,TRUE,0.5,0.7,0.1,0,0,5,TRUE,0.4,0,0,0,TRUE,1,basic_odm_randomwalk_LL.txt,,,
25,50,30,10,1,Abundance,TRUE,0.5,0.7,0.1,0.04,0,5,TRUE,0.4,0,0,0,TRUE,1,basic_odm_dynamic_LL.txt,,,
26,50,30,10,1,Abundance,TRUE,0.5,0.7,0.1,0,0,5,TRUE,0.4,0,0,0,TRUE,1,basic_odm_dynamic_LL.txt,,,
